Signal-1,Signal-2,Signal-3
400.0,470.0,12835.0
401.0,471.0,12827.0
399.0,471.0,12843.0
398.0,470.0,12850.0
400.0,470.0,12834.0
400.0,471.0,12834.0
399.0,471.0,12842.0
400.0,470.0,12834.0
400.0,470.0,12834.0
401.0,470.0,12826.0
400.0,470.0,12834.0
401.0,470.0,12827.0
399.0,471.0,12842.0
400.0,470.0,12834.0
399.0,470.0,12842.0
400.0,471.0,12834.0
400.0,470.0,12834.0
399.0,470.0,12842.0
401.0,472.0,12826.0
399.0,470.0,12842.0
398.0,470.0,12850.0
400.0,470.0,12834.0
400.0,471.0,12834.0
399.0,471.0,12842.0
401.0,471.0,12826.0
399.0,470.0,12842.0
400.0,470.0,12834.0
400.0,471.0,12834.0
400.0,471.0,12834.0
399.0,471.0,12842.0
399.0,471.0,12842.0
399.0,470.0,12842.0
400.0,471.0,12834.0
399.0,470.0,12842.0
399.0,470.0,12841.0
400.0,470.0,12833.0
400.0,471.0,12833.0
400.0,470.0,12833.0
402.0,470.0,12818.0
400.0,470.0,12834.0
400.0,471.0,12834.0
401.0,469.0,12826.0
399.0,470.0,12842.0
400.0,470.0,12834.0
399.0,471.0,12842.0
400.0,471.0,12834.0
400.0,471.0,12834.0
399.0,470.0,12841.0
401.0,471.0,12826.0
400.0,471.0,12834.0
399.0,471.0,12841.0
400.0,470.0,12833.0
400.0,470.0,12833.0
399.0,471.0,12841.0
400.0,471.0,12833.0
402.0,470.0,12818.0
400.0,471.0,12834.0
400.0,471.0,12834.0
401.0,470.0,12826.0
399.0,471.0,12842.0
399.0,470.0,12841.0
400.0,471.0,12833.0
400.0,471.0,12833.0
399.0,470.0,12841.0
400.0,470.0,12833.0
399.0,470.0,12841.0
401.0,471.0,12825.0
400.0,471.0,12833.0
400.0,470.0,12833.0
402.0,471.0,12818.0
400.0,471.0,12834.0
399.0,470.0,12841.0
402.0,472.0,12818.0
399.0,470.0,12842.0
400.0,469.0,12834.0
400.0,470.0,12834.0
400.0,471.0,12834.0
399.0,471.0,12841.0
401.0,469.0,12826.0
400.0,471.0,12834.0
401.0,471.0,12826.0
400.0,471.0,12834.0
399.0,470.0,12842.0
400.0,471.0,12834.0
400.0,470.0,12834.0
400.0,472.0,12834.0
401.0,471.0,12826.0
400.0,471.0,12834.0
400.0,471.0,12834.0
400.0,471.0,12834.0
400.0,471.0,12834.0
400.0,470.0,12834.0
401.0,470.0,12826.0
399.0,471.0,12842.0
399.0,470.0,12842.0
400.0,470.0,12834.0
399.0,471.0,12841.0
400.0,469.0,12833.0
400.0,471.0,12833.0
400.0,471.0,12833.0
400.0,471.0,12833.0
401.0,470.0,12826.0
401.0,470.0,12826.0
400.0,471.0,12834.0
399.0,472.0,12842.0
400.0,470.0,12834.0
400.0,470.0,12834.0
401.0,470.0,12826.0
399.0,470.0,12842.0
400.0,469.0,12834.0
400.0,471.0,12834.0
399.0,470.0,12841.0
400.0,470.0,12833.0
399.0,470.0,12841.0
400.0,470.0,12833.0
399.0,471.0,12841.0
400.0,471.0,12833.0
400.0,471.0,12833.0
399.0,471.0,12841.0
399.0,469.0,12841.0
401.0,470.0,12825.0
399.0,470.0,12841.0
398.0,470.0,12849.0
401.0,471.0,12825.0
400.0,470.0,12833.0
399.0,471.0,12841.0
402.0,470.0,12817.0
399.0,471.0,12841.0
401.0,470.0,12825.0
400.0,471.0,12833.0
399.0,471.0,12841.0
399.0,470.0,12841.0
400.0,470.0,12833.0
399.0,470.0,12841.0
400.0,472.0,12833.0
399.0,471.0,12841.0
400.0,471.0,12833.0
401.0,470.0,12825.0
399.0,470.0,12841.0
399.0,470.0,12841.0
402.0,470.0,12817.0
398.0,470.0,12849.0
399.0,470.0,12840.0
401.0,471.0,12825.0
398.0,471.0,12848.0
398.0,469.0,12848.0
399.0,471.0,12840.0
399.0,470.0,12840.0
399.0,470.0,12840.0
399.0,470.0,12840.0
400.0,471.0,12832.0
400.0,470.0,12832.0
399.0,470.0,12840.0
398.0,470.0,12847.0
401.0,472.0,12824.0
399.0,470.0,12839.0
398.0,470.0,12847.0
400.0,471.0,12831.0
399.0,470.0,12839.0
400.0,470.0,12831.0
401.0,470.0,12823.0
399.0,470.0,12839.0
400.0,470.0,12831.0
401.0,470.0,12823.0
398.0,470.0,12847.0
400.0,471.0,12831.0
399.0,471.0,12839.0
399.0,470.0,12839.0
399.0,472.0,12839.0
399.0,471.0,12839.0
399.0,471.0,12839.0
400.0,471.0,12831.0
400.0,470.0,12831.0
400.0,470.0,12831.0
402.0,470.0,12815.0
399.0,470.0,12839.0
400.0,469.0,12831.0
400.0,470.0,12831.0
400.0,470.0,12831.0
400.0,470.0,12831.0
400.0,471.0,12831.0
401.0,471.0,12823.0
402.0,469.0,12815.0
400.0,470.0,12831.0
400.0,470.0,12831.0
399.0,470.0,12839.0
400.0,470.0,12831.0
398.0,470.0,12847.0
400.0,471.0,12831.0
399.0,472.0,12839.0
400.0,470.0,12831.0
401.0,471.0,12823.0
402.0,471.0,12815.0
400.0,471.0,12831.0
400.0,471.0,12831.0
400.0,470.0,12831.0
400.0,470.0,12831.0
399.0,470.0,12839.0
399.0,470.0,12839.0
399.0,471.0,12839.0
401.0,470.0,12823.0
400.0,471.0,12831.0
399.0,470.0,12839.0
401.0,470.0,12823.0
400.0,470.0,12831.0
400.0,472.0,12831.0
399.0,471.0,12839.0
401.0,471.0,12823.0
401.0,471.0,12823.0
400.0,470.0,12831.0
399.0,472.0,12839.0
400.0,471.0,12831.0
400.0,471.0,12831.0
399.0,470.0,12839.0
399.0,470.0,12838.0
400.0,470.0,12830.0
399.0,470.0,12838.0
399.0,470.0,12838.0
400.0,470.0,12830.0
399.0,471.0,12838.0
400.0,471.0,12830.0
400.0,471.0,12830.0
400.0,471.0,12830.0
399.0,470.0,12838.0
399.0,471.0,12838.0
399.0,470.0,12838.0
400.0,471.0,12830.0
401.0,470.0,12822.0
401.0,469.0,12822.0
402.0,471.0,12814.0
400.0,470.0,12830.0
399.0,470.0,12838.0
401.0,471.0,12822.0
398.0,469.0,12846.0
400.0,470.0,12830.0
400.0,471.0,12830.0
400.0,471.0,12830.0
401.0,472.0,12822.0
399.0,471.0,12838.0
400.0,472.0,12830.0
400.0,471.0,12830.0
399.0,470.0,12838.0
400.0,470.0,12830.0
400.0,471.0,12830.0
399.0,470.0,12838.0
400.0,471.0,12830.0
400.0,470.0,12830.0
400.0,471.0,12830.0
401.0,471.0,12822.0
400.0,470.0,12830.0
400.0,470.0,12830.0
400.0,470.0,12830.0
400.0,471.0,12830.0
